,Unnamed: 0,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
138,138,0.9690114,0.043927795,0.00063854,1.11e-17,0.082356541,0.025120199,0.128795799,0.013447137,0.012959476,0.00063854,0.087527279,0.073305671,0.000599485,0.15041421
139,139,0.99936991,0.010336064,2.69e-05,3.02e-10,0.25554754,0.002623789,0.004871303,0.002017071,0.002732814,2.69e-05,0.286868334,0.01659751,2.97e-05,0.065398159
140,140,0.968610342,0.008613416,9.73e-05,1.87e-20,0.056593033,0.000535366,0.055201679,0.000930956,0.002853161,9.73e-05,0.057880721,0.026279391,0.000110586,0.013080526
141,141,0.000629787,0.026701268,0.006834621,0.000142031,0.470943693,0.000700856,0.013886849,0.064894851,0.034219842,0.006834621,0.545152182,0.071922545,0.006930796,0.006538528
143,143,0.00101904,0.020671976,1.93e-05,0.001477223,0.502406282,0.000123056,0.017922033,0.04904171,0.032334462,1.93e-05,0.558012685,0.066390041,1.95e-05,0.183112795
144,144,0.001113881,0.035314531,0.001841425,0.00084837,0.518218485,0.006435709,0.003282677,0.006568409,0.012164456,0.001841425,0.551190216,0.026279391,0.001889908,0.091556895
147,147,0.010818773,0.024117295,0.000593467,0.002145624,0.53801455,0.001039615,0.022793336,0.013343698,0.039502153,0.000593467,0.59623995,0.048409405,0.000607138,0.013080526
149,149,0.948427299,0.19293725,0.004965839,2.42e-34,0.007054838,0.167146398,0.006216364,0.009412996,0.001454788,0.004965839,0.007084509,0.031811895,0.005118209,0.15041421
150,150,0.949027422,0.53402248,0.002847739,1.72e-32,0.010088838,0.740841349,0.032245118,0.001396434,0.001229806,0.002847739,0.0099726,0.022130014,0.0029506,0.124255473
151,151,0.969615055,0.088716762,0.003275285,5.9e-17,0.096367854,0.052300886,0.253055834,0.016291724,0.018555743,0.003275285,0.103746165,0.117565698,0.00334876,0.0
152,152,0.949338179,0.303187008,0.00246161,1.3e-31,0.012054001,0.428138519,0.051715426,0.003051466,0.002262958,0.00246161,0.012334104,0.041493776,0.002547007,0.019620208
153,153,0.958610938,0.062876971,0.00070615,7.09e-30,0.016543653,0.350863616,0.396831981,0.00853376,0.003132234,0.00070615,0.017654271,0.051175657,0.000724484,0.0
154,154,0.958609424,0.018949328,4.47e-05,4.6899999999999994e-30,0.011299699,0.01410856,0.089984601,0.001396434,0.001192704,4.47e-05,0.010895487,0.019363762,4.59e-05,0.143874527
155,155,0.958611442,0.034453207,0.000861403,1.9600000000000002e-33,0.009337196,0.01956795,0.008906487,0.005068536,0.001159615,0.000861403,0.009348295,0.026279391,0.000894125,0.0
156,156,0.958808894,0.049095762,0.000143985,3.26e-30,0.009784794,0.069491868,0.082754351,0.000362038,0.000982054,0.000143985,0.009538301,0.015214385,0.000136478,0.222350896
157,157,0.949123172,0.018088004,6.44e-05,9.93e-32,0.010251912,0.155272303,0.104815901,0.001448153,0.00097593,6.44e-05,0.009864026,0.01659751,6.01e-05,0.19619216
158,158,0.949543299,0.022394647,6.76e-05,1.9600000000000002e-29,0.016358409,0.152590451,0.397036285,0.008068282,0.003139848,6.76e-05,0.017491409,0.052558783,5.84e-05,0.065398159
159,159,0.958813636,0.104220641,0.001294383,3.54e-30,0.015279957,0.069721856,0.08633076,0.011585226,0.001740817,0.001294383,0.016123366,0.029045643,0.001356239,0.0
160,160,0.959117229,0.076658201,0.002037431,7.879999999999999e-23,0.045735018,0.049812247,0.12114131,0.00868892,0.006441842,0.002037431,0.04976089,0.082987552,0.002068388,0.183112795
161,161,0.959214694,0.006890768,2.07e-06,1.82e-25,0.02353611,0.005014195,0.08564078,0.000413758,0.001435656,2.07e-06,0.023808139,0.013831259,1.98e-06,0.006538528
162,162,0.95911955,0.040482498,0.000235383,1.9699999999999998e-23,0.040188695,0.037994234,0.958853484,0.017377839,0.007417715,0.000235383,0.043298877,0.076071923,0.000216835,0.091556895
163,163,0.959223471,0.175710723,0.003591801,1.22e-22,0.04774911,0.167403685,0.143259207,0.00206879,0.004187428,0.003591801,0.051199519,0.034578147,0.003813208,0.124255473
164,164,0.959224581,0.054263707,0.000701142,1.66e-22,0.04385619,0.074489797,0.032208765,0.008275162,0.0029235,0.000701142,0.047521775,0.020746888,0.0007028,0.006538528
165,165,0.959429196,0.093884729,0.003655142,7.949999999999999e-24,0.046035235,0.065807742,0.138279209,0.010499111,0.005523327,0.003655142,0.048317362,0.074688797,0.003773654,0.065398159
167,167,0.959008363,0.040482498,0.000271693,2.79e-29,0.014018978,0.011465463,0.054828697,0.000982675,0.001200531,0.000271693,0.014238041,0.020746888,0.00029464,0.071937841
168,168,0.979507108,0.038759828,0.010333558,1.48e-06,0.341072653,0.004363552,0.185907829,0.009206117,0.015759765,0.010333558,0.397638772,0.071922545,0.010625956,0.0
169,169,0.979707384,0.20068919,0.001596701,1.61e-08,0.282901574,0.106671808,0.029082406,0.001086115,0.004116953,0.001596701,0.312331367,0.017980636,0.002036513,0.20273185
170,170,0.988984784,0.055125031,0.001629492,4.4e-16,0.116660055,0.017990989,0.088157862,0.011119748,0.012680913,0.001629492,0.117811732,0.085753804,0.001675164,0.013080526
171,171,0.988997194,0.015504031,0.00049706,1.3e-15,0.098038596,0.008316775,0.040445266,0.004189301,0.001892729,0.00049706,0.094374557,0.019363762,0.000497445,0.274668529
173,173,0.969410743,0.033591883,0.001625711,5.4899999999999995e-24,0.018171252,0.002744017,0.013159789,0.010085353,0.002740647,0.001625711,0.021404369,0.041493776,0.00161204,0.006538528
174,174,0.999272244,0.012920059,0.000137724,5.36e-07,0.331900401,0.000799159,0.018830858,0.005378855,0.00925883,0.000137724,0.388321196,0.031811895,0.000146682,0.013080526
175,175,0.988976208,0.074074207,0.000552149,1.36e-08,0.284696971,0.026183576,0.02199357,0.000775796,0.003780206,0.000552149,0.317833597,0.020746888,0.000608413,0.111176109
176,176,0.959413154,0.023255971,0.001158137,2.69e-22,0.046760002,0.017738158,0.141700027,0.00868892,0.004013473,0.001158137,0.053569197,0.042876902,0.001218102,0.0
177,177,0.969714336,0.093023405,0.004368541,5.71e-16,0.110639698,0.037646777,0.115059088,0.004137581,0.010168564,0.004368541,0.110937392,0.05670816,0.004545893,0.013080526
178,178,0.979297145,0.026701268,9.28e-05,1.91e-13,0.138019234,0.004879823,0.105685465,0.004034141,0.012449027,9.28e-05,0.141859452,0.069156293,9.35e-05,0.03269974
179,179,0.979309051,0.033591883,0.000343059,3.73e-09,0.278978428,0.01969037,0.043961329,0.002482548,0.005496975,0.000343059,0.312412425,0.035961272,0.00034566,0.019620208
180,180,0.969502759,0.031869234,0.001109307,2.81e-18,0.080730384,0.002340901,0.122777559,0.019601789,0.008875716,0.001109307,0.089263249,0.084370678,0.001112236,0.03269974
181,181,0.989689334,0.033591883,0.000363091,8.08e-08,0.298051284,0.005742633,0.03311759,0.003154905,0.009561449,0.000363091,0.353767638,0.031811895,0.000301018,0.15041421
182,182,0.958911605,0.055125031,0.005237995,6.77e-28,0.035230386,0.00803615,0.026755814,0.037548545,0.007820374,0.005237995,0.039740724,0.114799447,0.005092852,0.039239422
183,183,0.968600051,0.024117295,0.000249156,3.54e-20,0.058439112,0.01675597,0.097482772,0.002585988,0.003871665,0.000249156,0.060717021,0.027662517,0.000252549,0.078477523
184,184,0.979594483,0.138673696,0.008654711,5.39e-14,0.185274963,0.030243236,0.295739355,0.094776977,0.079801649,0.008654711,0.204592394,0.366528354,0.00861846,0.15041421
185,185,0.979701028,0.040482498,0.000520848,3e-07,0.324528689,0.00381192,0.151734911,0.013705736,0.024890118,0.000520848,0.39699584,0.110650069,0.000529332,0.058858476
186,186,0.988878945,0.153316229,0.046527729,1.77e-05,0.38492068,0.069231186,0.36227154,0.064941916,0.116282274,0.046527729,0.50691857,0.260027663,0.045835927,0.536256539
187,187,0.958925125,0.039621174,9.79e-05,1.31e-29,0.010092579,0.01941413,0.080745847,0.000310319,0.000935008,9.79e-05,0.009701163,0.017980636,9.85e-05,0.143874527
