,Id,Unnamed: 0.1,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality
3717,0.998965725,0.2921874380034123,0.026701268,0.001486158,0.000215121,0.441440763,0.013008264999999998,0.09171754899999998,0.015515928,0.009680995,0.001486158,0.47781199
3718,0.999271437,0.2922271158195453,0.006029443,0.000858899,2.29e-05,0.373341941,1.329999999999818e-05,0.017594855999999985,0.001861911,0.001405439,0.000858899,0.385615163
3719,0.999775609,0.2922667936356783,0.018949328,0.000479531,0.000432608,0.455164872,0.0010254699999999982,0.09062913999999998,0.025084083,0.019148817,0.000479531,0.504905591
3720,0.999882155,0.29230647145181127,0.018949328,0.000305498,0.000608394,0.441582221,0.009830085999999998,0.035371476999999985,0.005844333,0.011815173,0.000305498,0.474543496
3721,0.00010483,0.2923461492679443,0.034453207,0.000500816,0.01088547,0.524330973,0.0022065289999999983,0.04441683199999999,0.009154397,0.075137816,0.000500816,0.576973502
3722,0.000109976,0.2923858270840773,0.09216208,0.002265265,0.002899673,0.509565437,0.016412118999999996,0.029700407999999987,0.000724077,0.024034586,0.002265265,0.541719427
3723,0.999568068,0.2924255049002103,0.005168119,7.41e-07,0.001389074,0.505407202,0.0035007429999999984,0.05404092799999999,0.007913123,0.016410667,7.41e-07,0.530398496
3724,0.999064905,0.2924651827163433,0.016365355,0.002444582,0.001313134,0.450059533,0.0014215139999999983,0.08545756099999999,0.012102424,0.027947341,0.002444582,0.500751643
3725,0.999271134,0.2925048605324763,0.008613416,2.09e-06,0.001309192,0.415236475,0.0018882789999999984,0.030354761999999987,0.005689174,0.018280141,2.09e-06,0.454189503
3726,0.999466467,0.2925445383486093,0.013781383,0.000378116,0.004434707,0.563126164,0.012552673999999998,0.138998998,0.003413504,0.069446239,0.000378116,0.627054035
3727,0.989794366,0.2925842161647423,0.016365355,0.00401166,1.66e-05,0.383268008,0.0004950549999999982,0.08743661899999998,0.056582969,0.004500022,0.00401166,0.418353325
3728,0.999978308,0.2926238939808753,0.012920059,0.000475775,0.000270019,0.418972585,0.0004943469999999982,0.022756982999999988,0.011740385,0.011406365,0.000475775,0.457543859
3729,0.000101601,0.2927032496131413,0.013781383,0.001178169,0.004985424,0.563061445,0.003175420999999998,0.037587192999999984,0.008482041,0.069875037,0.001178169,0.626230284
3730,0.989900709,0.29274292742927427,0.02928524,0.000125204,0.002906752,0.451100034,0.011985977999999998,0.20403453,0.018257075,0.048685578,0.000125204,0.506588939
3731,0.000103619,0.2927826052454073,0.018088004,0.000882688,0.005202275,0.563363571,0.003521958999999998,0.07095561899999998,0.009671595,0.072011544,0.000882688,0.626755841
3732,0.999669266,0.2928619608776733,0.012920059,8.65e-05,0.000112987,0.381612939,0.0017326909999999982,0.028682522999999988,0.001396434,0.003629197,8.65e-05,0.411765409
3733,0.9893924,0.2929016386938063,0.006029443,2.18e-06,0.000117774,0.437381925,0.0016761129999999982,0.125534207,0.001706752,0.00623596,2.18e-06,0.463150138
3734,0.999772583,0.2929413165099393,0.006890768,0.000647304,0.000115859,0.415400766,0.0002333829999999982,0.018758151999999986,0.024049688,0.004734108,0.000647304,0.448815283
3735,0.99918164,0.2930603499583383,0.003445449,0.0,8.87e-07,0.341231947,1.0600000000000001e-18,0.05238686599999998,0.00439618,0.001521488,0.0,0.357567592
3736,0.000111489,0.2931000277744713,0.012920059,5.73e-05,8.36e-06,0.367122478,0.005827498999999998,0.10550224599999998,0.000413758,0.00506797,5.73e-05,0.390505517
3737,0.999382926,0.2931397055906043,0.006890768,2.43e-07,0.004584254,0.561970759,0.0008981699999999982,0.135167755,0.002792867,0.068859836,2.43e-07,0.623139523
3738,0.999681777,0.29317938340673727,0.005168119,2.89e-07,0.000393324,0.434725826,0.0019165679999999983,0.018721798999999987,0.004706498,0.007377534,2.89e-07,0.458638099
