,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
24,0.949546931,0.035314531,0.001176917,3.73E-33,0.006861733,0.016255116,0.00930637,0.007344206,0.001363194,0.001176917,0.007920536,0.030428769,0.00120152,0.104636426
25,0.959614339,0.018949328,0.00010129,2.70E-22,0.046583944,0.008364229,0.162914915,0.004654778,0.003848113,0.00010129,0.052635711,0.041493776,0.000109948,0.085017213
26,0.959320633,0.047373092,0.002755551,4.85E-22,0.059407656,0.007597461,0.27058271,0.012671341,0.012422352,0.002755551,0.067553724,0.134163209,0.002937309,0.156953892
27,0.968703468,0.032730559,0.000610995,2.50E-19,0.07309061,0.015692168,0.109723921,0.00424102,0.007403203,0.000610995,0.078038965,0.05670816,0.000610964,0.287747901
28,0.949534924,0.014642707,8.28E-05,9.19E-35,0.00485939,0.00307641,0.002366581,0.006568409,0.00095916,8.28E-05,0.004723006,0.020746888,7.60E-05,0.176573113
29,0.968804969,0.02928524,0.000130212,2.00E-18,0.083206363,0.023921319,0.089695231,0.004809938,0.00902668,0.000130212,0.085405674,0.045643154,0.00012755,0.176573113
30,0.969525662,0.049095762,0.000975339,1.36E-15,0.097641534,0.032614406,0.179074554,0.007706244,0.019041782,0.000975339,0.103103634,0.089903181,0.000950247,0.163493741
31,0.978684107,0.031869234,0.00095155,1.77E-15,0.104603629,0.008085797,0.026864873,0.019912107,0.009851072,0.00095155,0.105570998,0.030428769,0.000961727,0.026159891
32,0.959324669,0.018088004,0.000241644,1.04E-21,0.042092733,0.013871216,0.044920685,0.005016817,0.002987238,0.000241644,0.046529668,0.030428769,0.000233416,0.006538528
33,0.969516682,0.061154322,0.001843202,5.14E-16,0.109904381,0.016466646,0.17981761,0.026015039,0.025556351,0.001843202,0.116281261,0.124481328,0.001846234,0.026159891
34,0.948633932,0.018949328,0.000206587,2.96E-36,0.003086494,0.00653472,0.004362361,0.002792867,0.000691979,0.000206587,0.002931521,0.01659751,0.000214284,0
35,0.969101701,0.046511767,0.000891452,3.32E-17,0.090446981,0.02568838,0.139265466,0.0086372,0.017035288,0.000891452,0.09543463,0.091286307,0.000909431,0.006538528
36,2.42E-06,0.018088004,0.00023914,3.11E-06,0.361550936,0.002340901,0.016504266,0.002844587,0.005885896,0.00023914,0.413111936,0.038727524,0.0002551,0.078477523
37,0.969314085,0.05081841,0.001183177,5.81E-16,0.109143992,0.021443288,0.220093107,0.01717096,0.022133055,0.001183177,0.115014684,0.123098202,0.001202796,0.039239422
38,0.999989608,0.024978619,0.000176538,2.49E-06,0.353760304,0.003352227,0.009451782,0.00641325,0.007414327,0.000176538,0.420070414,0.037344398,0.000179845,0.039239422
39,0.968900718,0.008613416,2.23E-05,7.92E-18,0.079859317,0.000905243,0.023738514,0.006102932,0.004458583,2.23E-05,0.080812159,0.033195021,2.33E-05,0.274668529
40,0.948918557,0.012920059,0.000290473,3.99E-36,0.005208457,0.003210782,0.00556201,0.006775289,0.001307076,0.000290473,0.004885868,0.041493776,0.000298467,0
41,0.999067932,0.014642707,2.60E-05,3.45E-07,0.318244878,0.005148567,0.003617124,0.001448153,0.003539681,2.60E-05,0.345059092,0.01659751,2.84E-05,0.104636426
42,0.989887996,0.024978619,1.36E-05,3.93E-09,0.278718519,5.84E-05,0.113971043,0.014740131,0.012307045,1.36E-05,0.323112134,0.082987552,1.38E-05,0.130795163
43,0.989490773,0.01722668,0.000588459,1.05E-16,0.087336222,0.001492236,0.032717707,0.009412996,0.006460897,0.000588459,0.090559208,0.044260028,0.00060076,0.065398159
44,0.958816965,0.008613416,0.000126456,4.40E-34,0.004129616,0.000542438,0.004216949,0.004551339,0.000953585,0.000126456,0.003908695,0.01659751,0.00012755,0.071937841
45,0.958817066,0.008613416,0.000349319,1.33E-34,0.007629994,0.001485164,0.007197896,0.003827262,0.001156376,0.000349319,0.007518809,0.029045643,0.00035714,0.039239422
46,0.959633206,0.00947474,6.24E-06,2.50E-35,0.003472305,0.000862809,0.00217391,0.006671849,0.000727539,6.24E-06,0.003365821,0.01659751,6.59E-06,0.026159891
47,0.98988729,0.060292998,0.000186554,5.46E-06,0.361507872,3.10E-05,0.293634879,0.037083068,0.021288647,0.000186554,0.416043749,0.195020747,0.000191325,0.183112795
