Id,ANP,,,,,,,,,,
9711169,0.000567916,,,,,,,,,,
111225,0.005404489,,,,,,,,,,
9909129,0.006850422,,,,,,,,,,
9905068,0.00078514,,,,,,,,,,
111240,0,,,,,,,,,,
9710064,0.001210592,,,,,,,,,,
9711044,0.000959301,,,,,,,,,,
111284,0.013570912,,,,,,,,,,
112043,0.002405829,,,,,,,,,,
9812119,0.000188523,,,,,,,,,,
9912104,0.002152668,,,,,,,,,,
112072,0.001180476,,,,,,,,,,
9903043,0.000581997,,,,,,,,,,
112081,0.000794136,,,,,,,,,,
9612144,1.45E-05,,,,,,,,,,
9710098,0.003640116,,,,,,,,,,
112114,0.001198413,,,,,,,,,,
112116,0.002002468,,,,,,,,,,
9904122,0.000686819,,,,,,,,,,
9708137,0.00039582,,,,,,,,,,
9710218,0.001212822,,,,,,,,,,
112141,0.007596121,,,,,,,,,,
9811254,0.002573536,,,,,,,,,,
9904027,0.000951619,,,,,,,,,,
9704109,0.002272064,,,,,,,,,,
9705005,0.000181483,,,,,,,,,,
9707200,0.002076148,,,,,,,,,,
9710215,0.000994174,,,,,,,,,,
9812184,0.00019087,,,,,,,,,,
9704075,0.000344192,,,,,,,,,,
201031,0.002087898,,,,,,,,,,
201033,0.002467439,,,,,,,,,,
9711100,0.000728278,,,,,,,,,,
201129,0.002836553,,,,,,,,,,
201140,0.002975106,,,,,,,,,,
201151,0.003729034,,,,,,,,,,
201182,0.00267846,,,,,,,,,,
201183,0.002100609,,,,,,,,,,
205213,0.0021324,,,,,,,,,,
201218,0.000558529,,,,,,,,,,
9612234,0.000185394,,,,,,,,,,
9706187,0.001863931,,,,,,,,,,
9611103,0.00114547,,,,,,,,,,
9701151,8.29E-05,,,,,,,,,,
9701168,7.66E-05,,,,,,,,,,
9709225,0.000268313,,,,,,,,,,
9711003,0.002074521,,,,,,,,,,
9712202,0.009060805,,,,,,,,,,
201248,0.000242499,,,,,,,,,,
202021,0.034925897,,,,,,,,,,
202065,0.01043269,,,,,,,,,,
202138,0.001327062,,,,,,,,,,
9612064,0.001285,,,,,,,,,,
202165,0.000244845,,,,,,,,,,
202173,0.005329502,,,,,,,,,,
202191,0.001093982,,,,,,,,,,
9706039,0.000306643,,,,,,,,,,
9712021,0.000966028,,,,,,,,,,
203017,0.00052411,,,,,,,,,,
9908004,0.020043169,,,,,,,,,,
203095,0.000201039,,,,,,,,,,
203097,0.000288652,,,,,,,,,,
203101,0.025634022,,,,,,,,,,
9811243,3.65E-05,,,,,,,,,,
9910146,0.004105032,,,,,,,,,,
203116,0.001772837,,,,,,,,,,
9909049,0.001532083,,,,,,,,,,
203155,0.00040599,,,,,,,,,,
9911138,0.002162665,,,,,,,,,,
9903039,0.001362694,,,,,,,,,,
203223,2.64E-05,,,,,,,,,,
9708123,0.004131997,,,,,,,,,,
9912185,0.000843504,,,,,,,,,,
204047,0.002369908,,,,,,,,,,
9903217,0.002724464,,,,,,,,,,
9907002,0.002610474,,,,,,,,,,
204147,0.001093896,,,,,,,,,,
204196,0.001840525,,,,,,,,,,
9902158,0.0010022,,,,,,,,,,
205037,0.004534537,,,,,,,,,,
205054,0.000107951,,,,,,,,,,
9709138,0.003467629,,,,,,,,,,
205073,0.001817778,,,,,,,,,,
9705111,0.000207297,,,,,,,,,,
205093,0.000982041,,,,,,,,,,
9912280,0.002671553,,,,,,,,,,
9909219,0.001990984,,,,,,,,,,
9707171,0.015509594,,,,,,,,,,
205177,0.003656926,,,,,,,,,,
205185,0.00145647,,,,,,,,,,
205251,0.004182914,,,,,,,,,,
205254,0.001057849,,,,,,,,,,
9712047,0.004501174,,,,,,,,,,
9712075,0.000751746,,,,,,,,,,
9712084,0.004518399,,,,,,,,,,
205306,0.019759485,,,,,,,,,,
9811170,0.000482651,,,,,,,,,,
9904094,0.000727496,,,,,,,,,,
9902149,0.00151431,,,,,,,,,,
206075,1.38E-06,,,,,,,,,,
206090,0.000268313,,,,,,,,,,
206097,0.000863037,,,,,,,,,,
9705126,0.005062331,,,,,,,,,,
9703053,0.003634358,,,,,,,,,,
206116,0.000793604,,,,,,,,,,
206132,0.0002292,,,,,,,,,,
9612096,0.002628513,,,,,,,,,,
206192,0.005366346,,,,,,,,,,
9904042,0.000141588,,,,,,,,,,
206239,0.000608593,,,,,,,,,,
9901072,0.00113311,,,,,,,,,,
206247,0.001946701,,,,,,,,,,
9704158,0.003020633,,,,,,,,,,
206255,0.009342424,,,,,,,,,,
207034,0.000295692,,,,,,,,,,
207061,0.00066648,,,,,,,,,,
207052,0.003072153,,,,,,,,,,
207081,0.00821662,,,,,,,,,,
9902001,0.00115808,,,,,,,,,,
9708033,0.001175367,,,,,,,,,,
207090,0.000227636,,,,,,,,,,
207111,0.002038318,,,,,,,,,,
207115,4.29E-05,,,,,,,,,,
207142,0.004865837,,,,,,,,,,
207184,0.000758004,,,,,,,,,,
9907099,0.003991574,,,,,,,,,,
207200,0.001191153,,,,,,,,,,
207209,2.82E-05,,,,,,,,,,
207249,0.002603958,,,,,,,,,,
207264,0.000987368,,,,,,,,,,
208029,0.000920188,,,,,,,,,,
208048,0.012283127,,,,,,,,,,
9709042,0.002527258,,,,,,,,,,
208175,0.005838397,,,,,,,,,,
208220,5.27E-06,,,,,,,,,,
9907029,0.001562262,,,,,,,,,,
209009,0.000288652,,,,,,,,,,
209028,0.005008848,,,,,,,,,,
209057,9.70E-05,,,,,,,,,,
209081,9.54E-05,,,,,,,,,,
209105,0.001053086,,,,,,,,,,
209106,0.007065049,,,,,,,,,,
9709178,0.002420723,,,,,,,,,,
209223,0.000637537,,,,,,,,,,
209140,0.002773785,,,,,,,,,,
9704191,9.23E-05,,,,,,,,,,
9704190,0.000713415,,,,,,,,,,
209182,0.000112645,,,,,,,,,,
209201,0.001432713,,,,,,,,,,
209219,0.001176775,,,,,,,,,,
209225,0.00372819,,,,,,,,,,
9812120,6.45E-05,,,,,,,,,,
9902200,0.002336826,,,,,,,,,,
210022,0.011647913,,,,,,,,,,
210035,0.003355618,,,,,,,,,,
210132,0.00213822,,,,,,,,,,
210133,0.001262612,,,,,,,,,,
9901152,4.76E-05,,,,,,,,,,
9903025,2.21E-05,,,,,,,,,,
210134,0.007151684,,,,,,,,,,
9709123,0.000995519,,,,,,,,,,
210212,0.001081309,,,,,,,,,,
9703118,0.001671324,,,,,,,,,,
210243,0.000419288,,,,,,,,,,
210261,2.71E-05,,,,,,,,,,
211029,0.001660701,,,,,,,,,,
211068,0.015357626,,,,,,,,,,
211110,0.001076154,,,,,,,,,,
211139,0.00082534,,,,,,,,,,
211156,0.0009149,,,,,,,,,,
211160,0.001236602,,,,,,,,,,
211272,0.001141903,,,,,,,,,,
9705055,0.005773235,,,,,,,,,,
9711082,0.001949533,,,,,,,,,,
9904019,0.004341195,,,,,,,,,,
212041,0.000351232,,,,,,,,,,
212044,0.000337151,,,,,,,,,,
212048,3.55E-06,,,,,,,,,,
212100,0.000537408,,,,,,,,,,
212114,0.031409753,,,,,,,,,,
212117,0.01089939,,,,,,,,,,
212183,0.001546304,,,,,,,,,,
212214,0.000964245,,,,,,,,,,
212270,0.002421912,,,,,,,,,,
212277,0.004037524,,,,,,,,,,
212297,0.000981775,,,,,,,,,,
301055,0.001874726,,,,,,,,,,
301065,0.00077756,,,,,,,,,,
9709038,7.63E-05,,,,,,,,,,
9711046,0.000160362,,,,,,,,,,
9705188,0.000278482,,,,,,,,,,
302010,0.000556965,,,,,,,,,,
302059,0.00065944,,,,,,,,,,
302138,0.000783138,,,,,,,,,,
9709005,1.99E-05,,,,,,,,,,
9710030,0.000643013,,,,,,,,,,
9901033,0.000100911,,,,,,,,,,
303120,0.001209771,,,,,,,,,,
303173,0.002157268,,,,,,,,,,
303185,0.031132858,,,,,,,,,,
9703174,0.002631861,,,,,,,,,,
9709114,0.002250943,,,,,,,,,,
9703016,0.000717327,,,,,,,,,,
303204,0.002482638,,,,,,,,,,
303210,0.000699335,,,,,,,,,,
303233,0.000113427,,,,,,,,,,
9701188,0.000564787,,,,,,,,,,
9711015,0.006867765,,,,,,,,,,
304164,0.000954021,,,,,,,,,,
9704087,0.000860549,,,,,,,,,,
9707259,0.001269347,,,,,,,,,,
9708085,0.003400793,,,,,,,,,,
9709118,0.001443704,,,,,,,,,,
9904086,0.000841408,,,,,,,,,,
9812143,8.29E-05,,,,,,,,,,
9703208,0.00020495,,,,,,,,,,
9710245,0.001255908,,,,,,,,,,
9710192,0.000806785,,,,,,,,,,
9709209,0.002777861,,,,,,,,,,
3065,0.000512376,,,,,,,,,,
9909075,0.000209644,,,,,,,,,,
9708029,0.00046857,,,,,,,,,,
9707043,0.000378611,,,,,,,,,,
9709098,0.000915464,,,,,,,,,,
