,Id,Katz-Centrality,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Load-centrality,Page-Rank,Percolation-Centrality,Hybrid-Centrality,score
60,0.968600461,0.002166804,5.65E-05,1.66E-06,0.001044731,0.001475253,0.001472424,2.11E-89,0.031069106,0.00141977,1.66E-06,0.004398322,1.66E-06,0.002268545,0.089590656
61,0.968600865,0.021004841,0.006997591,0.027390033,0.017075187,0.050147795,0.039764361,3.78E-79,0.002896886,0.00619606,0.027946112,0.004518276,0.027390033,0.017199274,0.011200995
62,0.968600965,0.002166804,0.000201282,0,0.001044731,0.001475253,0.001472424,2.11E-89,0.001738132,2.54E-06,0,0.001119573,0,0.000216052,0.055994983
63,0.968601066,0.002166804,0.000224247,0,0.001044731,0.001475253,0.001472424,2.11E-89,0.000869066,3.70E-05,0,0.000479817,0,0.000129554,0.279965296
64,0.99937768,0.004333608,1.22E-18,3.83E-05,0.002089929,0.004425101,0.002945505,4.24E-89,0.000869066,1.03E-19,3.83E-05,0.010955819,3.83E-05,0.002129654,0.279965296
65,0.968601268,0.039090606,0.035797134,0.00036492,0.029643772,0.017699441,0.001472424,2.42E-73,0.001738132,0.001651254,0.000339737,0.004118428,0.00036492,0.00257503,0.190377137
66,0.968601369,0,1.18E-18,0,0,0.001475253,0.002945505,0,0.006083461,1.89E-06,0,0,0,0,0
67,0.99937778,0.002600163,0.000209928,0.000674216,0.001880932,0.014749593,0.014727547,3.03E-87,0.014840335,0.012774454,0.000665986,0.000519802,0.000674216,0.013120137,0.223972629
68,0.968601571,0.002166804,3.49E-08,0.001217803,0.001044731,0.014749593,0.014727547,2.11E-89,0.035194065,4.61E-05,0.001218164,0.002199161,0.001217803,0.000916446,0.100789154
69,0.96860147,0,1.18E-18,0,0,0.004425101,0.00589101,0,0,0.004683697,0,0,0,0.004683697,0
70,0.968601773,0.002600163,8.75E-05,2.83E-05,0.001880932,0.002950177,0.002945505,3.03E-87,0,1.02E-19,2.83E-05,0.001439451,2.83E-05,0.000285497,0.436744444
71,0.968601873,0.002166804,1.11E-18,0,0.001044731,0.001475253,0.001472424,2.11E-89,0.034644002,9.92E-20,0,0.002918886,0,0.000563278,0.055994983
72,0.968601974,0.009863278,0.00097534,0.009733996,0.006020997,0.017699441,0.013254795,5.30E-84,0,0.004915181,0.009989787,0.010835865,0.009733996,0.010617408,0.223972629
73,0.999377881,0.013389517,0.001529203,0.003969448,0.013561961,0.051622743,0.045655371,6.52E-78,0.003041731,0.006412112,0.003856816,0.00227913,0.003969448,0.008284819,0.167980143
74,0.968602075,0.024776323,0.075405117,0.00119252,0.032363201,0.017699441,0.008836514,7.11E-73,0,0.017196805,0.001289821,0.001439451,0.00119252,0.017929067,0
75,0.968602176,0,1.18E-18,0,0,0.026548986,0.027982319,0,0,0.01416606,0,0,0,0.01416606,0.011200995
76,0.968602378,0,1.18E-18,0,0,0,0.001472424,0,0.000869066,1.01E-19,0,0,0,0,0
77,0.999377982,0,1.18E-18,0,0,0,0.001472424,0,0,1.02E-19,0,0,0,0,0.033597989
78,0.96860258,0.028294532,0.091359083,0.000450882,0.031290538,0.011799745,0.002945505,2.46E-71,0.004779862,0.003171333,0.00043837,0.001559405,0.000450882,0.003635073,0.257568302
79,0.968602479,0.002383488,1.04E-11,0,0.001394084,0.001475253,0.001472424,1.52E-87,0.000869066,1.31E-13,0,0.002239146,0,0.000432104,0.235171308
80,0.968602681,0.006717086,0.000184261,7.50E-05,0.003343889,0.004425101,0.001472424,1.57E-87,0.001738132,7.18E-07,7.50E-05,0.012475239,7.50E-05,0.0024383,0.167980143
81,0.968602882,0,1.18E-18,0,0,0,0.001472424,0,0.009849414,1.01E-19,0,0,0,0,0.06719348
82,0.968602983,0,1.18E-18,0,0,0.002950177,0.004418257,0,0.006083461,4.23E-10,0,0,0,0,0.033597989
83,0.968603084,0.002166804,1.18E-18,0.000442454,0.001044731,0.001475253,0.001472424,2.11E-89,0.000869066,1.01E-19,0.000442585,0.008756658,0.000442454,0.001851873,0.223972629
84,0.968603185,0,1.18E-18,0,0,0.036873478,0.038291609,0,0,0.040859118,0,0,0,0.040859118,0.134384645
85,0.968603286,0.011267369,0.096665905,0.000420121,0.005374112,0.013274669,0.007363762,3.11E-87,0,0.00667446,0.000414344,0.002399085,0.000420121,0.007290208,0.111987651
86,0.968603387,0.002166804,1.20E-18,0,0.001044731,0,0,2.11E-89,0.012601456,1.01E-19,0,0.008756658,0,0.001689835,0.06719348
