Rank,Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality
88,0.99999102,0.988877131,0.000104225,0.030595204,0.030492594,0.96940187,0.001025598,0.98968641,0.02060135,0.021093113,0.000104225
89,0.999990919,0.020187076,0.999773894,0.030289189,0.021202079,0.988978228,0.02059005,0.968706603,0.020589243,0.030491282,0.999773894
90,0.999990819,0.999995561,0.020989494,0.02061487,0.020607808,0.988883689,0.988981154,0.000109976,0.010197964,0.030592883,0.020989494
91,0.999990718,0.000406607,2.07E-05,0.020800114,0.030495923,0.988975201,0.021108852,0.969213903,0.01071152,0.020805259,2.07E-05
92,0.999990617,0.999881247,0.020793253,0.03047978,0.030287171,0.999885787,0.021009773,0.969617079,0.020602662,0.010516893,0.020793253
93,0.999990516,0.010605277,0.999681273,0.02070729,0.021310642,0.000116836,0.01081635,0.968699439,0.010498934,0.030476249,0.999681273
94,0.999990415,0.000607085,0.00082744,0.020892634,0.030273349,0.989286059,0.999484931,0.969621418,0.020182132,0.021000996,0.00082744
95,0.999990314,0.979388358,0.979799909,0.030277486,0.030489769,0.988990134,0.011005931,0.968802655,0.020390883,0.021322952,0.979799909
96,0.999990213,0.998972082,0.979614363,0.020612651,0.020986467,0.98919041,0.001123365,0.000108361,0.021012397,0.030472616,0.979614363
97,0.999990112,0.989295644,0.979796983,0.030371318,0.020507922,0.978801351,0.988975706,0.969717772,0.998874213,0.03058572,0.979796983
98,0.999990011,0.000821992,0.010807673,0.021299948,0.030493603,0.988999416,0.01060669,0.000215411,0.020886581,0.00082744,0.010807673
99,0.99998991,0.000109976,0.000209256,0.021302369,0.030475946,0.999879229,0.999287076,0.000406607,0.021003114,0.011214885,0.000209256
100,0.99998981,0.999577452,3.23E-06,0.020690743,0.030588141,0.989386248,0.020487036,0.969710003,0.010611835,0.030490172,3.23E-06
101,0.999989709,0.968794179,0.010089704,0.030491787,0.030386654,0.999482711,0.989481089,0.969714846,0.010710107,0.030490273,0.010089704
102,0.999989406,0.020887186,0.010102114,0.020900101,0.020793253,0.98979578,0.010497824,0.989691859,0.030572906,0.000831476,0.010102114
103,0.999989305,0.968698127,0.020204934,0.021188963,0.020989494,0.969115227,0.000213696,0.000817451,0.001018434,0.030593791,0.020204934
104,0.999989204,0.979816759,0.979710819,0.020591463,0.021114099,0.968595921,0.000508511,0.989185971,0.999581185,0.01120308,0.979710819
105,0.999989103,0.978684111,0.010315305,0.03028253,0.030593691,0.989393007,0.999983756,0.989295139,0.021095332,0.030389782,0.010315305
106,0.999989002,0.989295139,0.020298665,0.030485632,0.021008765,0.989792148,0.999281728,0.978790152,0.021189064,0.03057563,0.020298665
107,0.999988902,0.969617079,0.020807983,0.020889305,0.030595204,0.969713535,0.988986501,0.968706703,0.989395126,0.020810203,0.020807983
108,0.999988801,0.989280711,0.979590047,0.020705676,0.030588343,0.969716663,0.989182944,0.999783681,0.000317416,0.030576034,0.979590047
