,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality,MAUT
1008,5081,0.008246107,0.369835599,3.55e-05,0.0002223,0.055041688,0.330080015,0.000521908,0.118441917,0.00118231,3.55e-05,0.005931294,3.77e-05,0.04366912,0.783737802
1013,5087,0.022380361,0.263350643,0.004332306,7.87e-06,0.040078438,0.247446789,0.008669777,0.062640371,0.015384628,0.004332306,0.000771881,0.004630984,0.014181578,0.376201948
1016,5090,0.043581741,0.231562621,0.004054085,8.3e-11,0.036606045,0.211433262,0.005488526,0.05043742,0.021301766,0.004054085,0.005159414,0.004245068,0.023655335,0.0
1020,5094,0.009423952,0.248516875,0.001619647,6.37e-06,0.037109599,0.227965713,0.000862475,0.174855877,0.004733716,0.001619647,0.009059443,0.001645218,0.010044156,0.219457177
1024,5099,0.005890389,0.107619234,2.05e-05,2.07e-12,0.016159828,0.095661945,4.56e-05,0.003642051,0.002367546,2.05e-05,0.062724252,2.18e-05,0.004286523,0.188108526
1032,5107,0.007068234,0.197245207,0.007462298,3.67e-06,0.029532315,0.184610674,2.45e-07,0.000582063,0.00118231,0.007462298,0.037460187,0.00761675,0.006353039,0.203782851
1039,5114,0.044759615,0.397055798,0.004232941,8.66e-06,0.061015387,0.362829784,0.001287078,0.043113405,0.004733716,0.004232941,0.019500146,0.004255224,0.070988103,0.015698359
1045,5121,0.036514614,0.312018386,0.000823734,5.02e-06,0.047980907,0.320304356,0.000490947,0.061602636,0.002367546,0.000823734,0.047012009,0.000745426,0.078940059,0.156759503
1048,5124,0.025913924,0.167183567,0.000444161,1.49e-12,0.026069661,0.160754292,7.92e-05,0.025527619,0.00118231,0.000444161,0.064627141,0.000449896,0.036542686,0.626993031
1051,5127,0.049471023,0.485269748,0.02532382,0.000800842,0.075302646,0.431057866,0.013699113,0.079688164,0.015384628,0.02532382,0.030550229,0.025759542,0.071804314,0.2508062
1053,5129,0.076561685,0.301452371,0.018141135,1.94e-06,0.049005886,0.262562919,0.013299234,0.005446446,0.072189336,0.018141135,0.004021905,0.019012422,0.007127016,0.219457177
1059,5136,0.009423952,0.132779268,0.00127187,7.66e-13,0.02008205,0.113325544,0.002030134,0.103857082,0.00828401,0.00127187,0.000893757,0.001513194,0.00313112,0.0
1073,5151,0.060071713,0.411905521,0.006766744,0.000560451,0.064600824,0.380350888,0.007915885,0.370678494,0.011834334,0.006766744,0.029697098,0.006794141,0.137383858,0.015698359
1075,5153,0.048293178,0.366803877,0.000308031,6.08e-06,0.056701694,0.342540783,0.001158813,0.042762504,0.003550294,0.000308031,0.026162696,0.000317872,0.078438837,0.094061442
1083,5162,0.048293178,0.432890705,0.005663795,0.000328545,0.066790552,0.393069704,0.00169399,0.123107983,0.005917167,0.005663795,0.029290845,0.005748107,0.071871339,0.0
